"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",122,1180,0.103389830508475
"2","SAT","GLANCE-LR",281,1021,0.275220372184133
"3","SAT","N-gram",178,1124,0.158362989323843
"4","SAT","LineDP",292,1010,0.289108910891089
"5","SAT","DeepLineDP",228,1074,0.212290502793296
"6","SAT","LLM4SA",374,928,0.40301724137931
"7","APART-F","GLANCE-LR",286,1016,0.281496062992126
"8","APART-F","N-gram",133,1169,0.11377245508982
"9","APART-F","LineDP",191,1111,0.171917191719172
"10","APART-F","DeepLineDP",197,1105,0.178280542986425
"11","APART-F","LLM4SA",136,1166,0.11663807890223
"12","GLANCE-LR","N-gram",175,1127,0.15527950310559
"13","GLANCE-LR","LineDP",424,878,0.482915717539863
"14","GLANCE-LR","DeepLineDP",207,1095,0.189041095890411
"15","GLANCE-LR","LLM4SA",152,1150,0.132173913043478
"16","N-gram","LineDP",176,1126,0.156305506216696
"17","N-gram","DeepLineDP",156,1146,0.136125654450262
"18","N-gram","LLM4SA",155,1147,0.135135135135135
"19","LineDP","DeepLineDP",192,1110,0.172972972972973
"20","LineDP","LLM4SA",158,1144,0.138111888111888
"21","DeepLineDP","LLM4SA",186,1116,0.166666666666667
