"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",3,53,0.0566037735849057
"2","SAT","GLANCE-LR",12,44,0.272727272727273
"3","SAT","N-gram",1,55,0.0181818181818182
"4","SAT","LineDP",14,42,0.333333333333333
"5","SAT","DeepLineDP",3,53,0.0566037735849057
"6","SAT","LLM4SA",11,45,0.244444444444444
"7","APART-F","GLANCE-LR",12,44,0.272727272727273
"8","APART-F","N-gram",3,53,0.0566037735849057
"9","APART-F","LineDP",5,51,0.0980392156862745
"10","APART-F","DeepLineDP",10,46,0.217391304347826
"11","APART-F","LLM4SA",3,53,0.0566037735849057
"12","GLANCE-LR","N-gram",2,54,0.037037037037037
"13","GLANCE-LR","LineDP",14,42,0.333333333333333
"14","GLANCE-LR","DeepLineDP",5,51,0.0980392156862745
"15","GLANCE-LR","LLM4SA",7,49,0.142857142857143
"16","N-gram","LineDP",2,54,0.037037037037037
"17","N-gram","DeepLineDP",1,55,0.0181818181818182
"18","N-gram","LLM4SA",3,53,0.0566037735849057
"19","LineDP","DeepLineDP",3,53,0.0566037735849057
"20","LineDP","LLM4SA",6,50,0.12
"21","DeepLineDP","LLM4SA",0,56,0
