filename,test-release,line_number,EP_prediction_result
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,65,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,71,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,377,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,94,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,98,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,106,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,119,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,123,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,127,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,131,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,136,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,147,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,173,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,178,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,204,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,223,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,242,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,262,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,283,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,302,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,322,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,342,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,370,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,374,True
service_src_java_org_apache_hive_service_cli_session_HiveSessionImpl.java,hive-0.12.0,377,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_AbstractBucketJoinProc.java,hive-0.12.0,423,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_AbstractBucketJoinProc.java,hive-0.12.0,68,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_AbstractBucketJoinProc.java,hive-0.12.0,72,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_AbstractBucketJoinProc.java,hive-0.12.0,325,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_merge_BlockMergeTask.java,hive-0.12.0,130,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_merge_BlockMergeTask.java,hive-0.12.0,137,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_merge_BlockMergeTask.java,hive-0.12.0,249,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_merge_BlockMergeTask.java,hive-0.12.0,318,True
ql_src_java_org_apache_hadoop_hive_ql_plan_ConditionalResolverSkewJoin.java,hive-0.12.0,88,True
ql_src_java_org_apache_hadoop_hive_ql_plan_ConditionalResolverSkewJoin.java,hive-0.12.0,112,True
ql_src_java_org_apache_hadoop_hive_ql_plan_PTFDeserializer.java,hive-0.12.0,183,True
ql_src_java_org_apache_hadoop_hive_ql_plan_PTFDeserializer.java,hive-0.12.0,81,True
ql_src_java_org_apache_hadoop_hive_ql_plan_PTFDeserializer.java,hive-0.12.0,84,True
ql_src_java_org_apache_hadoop_hive_ql_plan_PTFDeserializer.java,hive-0.12.0,88,True
ql_src_java_org_apache_hadoop_hive_ql_plan_PTFDeserializer.java,hive-0.12.0,89,True
ql_src_java_org_apache_hadoop_hive_ql_exec_mr_MapredLocalTask.java,hive-0.12.0,137,True
ql_src_java_org_apache_hadoop_hive_ql_exec_mr_MapredLocalTask.java,hive-0.12.0,155,True
ql_src_java_org_apache_hadoop_hive_ql_exec_mr_MapredLocalTask.java,hive-0.12.0,161,True
ql_src_java_org_apache_hadoop_hive_ql_exec_mr_MapredLocalTask.java,hive-0.12.0,163,True
ql_src_java_org_apache_hadoop_hive_ql_exec_mr_MapredLocalTask.java,hive-0.12.0,429,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1179,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,84,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,145,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,155,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1125,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1165,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1234,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1241,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1258,True
common_src_java_org_apache_hadoop_hive_conf_HiveConf.java,hive-0.12.0,1257,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,205,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,205,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,253,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,253,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,293,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,295,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,537,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,503,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,507,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,513,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,522,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,528,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,532,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,550,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,562,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,798,True
ql_src_java_org_apache_hadoop_hive_ql_session_SessionState.java,hive-0.12.0,798,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_stats_PartialScanTask.java,hive-0.12.0,143,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_stats_PartialScanTask.java,hive-0.12.0,150,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_stats_PartialScanTask.java,hive-0.12.0,254,True
ql_src_java_org_apache_hadoop_hive_ql_io_rcfile_stats_PartialScanTask.java,hive-0.12.0,323,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,793,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,85,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,94,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,127,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,169,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,272,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,296,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,362,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,470,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,556,True
ql_src_java_org_apache_hadoop_hive_ql_optimizer_ColumnPrunerProcFactory.java,hive-0.12.0,642,True
