"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",13,193,0.0673575129533679
"2","SAT","GLANCE-LR",50,156,0.320512820512821
"3","SAT","N-gram",17,189,0.0899470899470899
"4","SAT","LineDP",58,148,0.391891891891892
"5","SAT","DeepLineDP",28,178,0.157303370786517
"6","SAT","LLM4SA",49,157,0.312101910828025
"7","APART-F","GLANCE-LR",47,159,0.29559748427673
"8","APART-F","N-gram",9,197,0.0456852791878173
"9","APART-F","LineDP",22,184,0.119565217391304
"10","APART-F","DeepLineDP",30,176,0.170454545454545
"11","APART-F","LLM4SA",13,193,0.0673575129533679
"12","GLANCE-LR","N-gram",11,195,0.0564102564102564
"13","GLANCE-LR","LineDP",60,146,0.410958904109589
"14","GLANCE-LR","DeepLineDP",27,179,0.150837988826816
"15","GLANCE-LR","LLM4SA",28,178,0.157303370786517
"16","N-gram","LineDP",9,197,0.0456852791878173
"17","N-gram","DeepLineDP",18,188,0.0957446808510638
"18","N-gram","LLM4SA",9,197,0.0456852791878173
"19","LineDP","DeepLineDP",19,187,0.101604278074866
"20","LineDP","LLM4SA",29,177,0.163841807909605
"21","DeepLineDP","LLM4SA",16,190,0.0842105263157895
