"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",23,2193,0.0104879160966712
"2","SAT","GLANCE-LR",69,2147,0.032137866790871
"3","SAT","N-gram",22,2194,0.0100273473108478
"4","SAT","LineDP",74,2142,0.034547152194211
"5","SAT","DeepLineDP",68,2148,0.031657355679702
"6","SAT","LLM4SA",573,1643,0.348752282410225
"7","APART-F","GLANCE-LR",172,2044,0.0841487279843444
"8","APART-F","N-gram",10,2206,0.00453309156844968
"9","APART-F","LineDP",35,2181,0.0160476845483723
"10","APART-F","DeepLineDP",36,2180,0.0165137614678899
"11","APART-F","LLM4SA",23,2193,0.0104879160966712
"12","GLANCE-LR","N-gram",12,2204,0.00544464609800363
"13","GLANCE-LR","LineDP",716,1500,0.477333333333333
"14","GLANCE-LR","DeepLineDP",303,1913,0.158389963408259
"15","GLANCE-LR","LLM4SA",36,2180,0.0165137614678899
"16","N-gram","LineDP",14,2202,0.00635785649409628
"17","N-gram","DeepLineDP",7,2209,0.003168854685378
"18","N-gram","LLM4SA",91,2125,0.0428235294117647
"19","LineDP","DeepLineDP",312,1904,0.163865546218487
"20","LineDP","LLM4SA",32,2184,0.0146520146520147
"21","DeepLineDP","LLM4SA",29,2187,0.0132601737540009
