"filename","test.release","line_number","prediction_result","Priority"
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",1,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",2,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",3,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",4,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",5,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",6,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",7,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",8,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",9,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",10,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",11,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",12,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",13,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",14,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",15,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",16,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",17,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",18,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",19,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",20,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",21,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",22,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",23,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",24,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",25,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",26,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",27,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",28,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",29,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",30,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",31,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",32,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",33,"False",4
"hbase-client_src_main_java_org_apache_hadoop_hbase_client_Action.java","hbase-0.95.2",34,"False",4
