filename,line,severity,priority
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,166,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,151,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,188,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,91,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,110,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,168,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,127,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,125,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,149,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,126,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,174,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,145,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,65,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,190,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,124,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,88,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,136,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,53,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,161,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,199,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,198,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,118,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,193,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,87,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,186,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,148,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,173,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,97,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,128,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,130,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,89,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,191,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,194,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,92,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,115,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,107,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,140,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,96,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,131,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,143,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,152,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,44,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,182,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,205,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,52,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,17,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,184,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,84,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,180,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,178,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,189,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,103,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,120,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,1,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,83,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,137,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,72,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,192,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,112,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,150,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,170,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,169,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,51,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,181,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,106,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,111,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,114,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,134,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,113,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,195,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,100,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,24,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,133,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,207,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,179,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,49,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,175,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,48,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,158,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,10,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,163,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,162,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,167,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,157,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,40,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,155,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,160,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,203,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,176,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,122,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,78,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,94,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,43,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,156,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,42,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,70,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,132,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,164,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,154,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,139,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,200,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,95,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,185,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,81,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,54,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,101,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,121,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,146,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,86,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,172,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,57,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,117,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,8,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,47,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,80,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,142,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,144,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,108,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,138,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,208,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,197,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,201,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,99,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,46,error,1
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,56,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,77,warning,2
components_camel-smpp_src_main_java_org_apache_camel_component_smpp_SmppSubmitSmCommand.java,76,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,114,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,135,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,134,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,151,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,32,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,100,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,105,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,147,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,91,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,90,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,45,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,37,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,127,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,116,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,126,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,49,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,104,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,10,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,73,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,124,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,40,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,88,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,136,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,66,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,53,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,64,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,59,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,122,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,118,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,78,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,94,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,43,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,87,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,123,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,61,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,148,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,109,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,97,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,128,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,130,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,42,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,70,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,89,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,92,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,132,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,115,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,139,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,107,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,140,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,96,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,131,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,95,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,81,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,25,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,143,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,152,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,52,error,1
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,63,warning,2
camel-core_src_main_java_org_apache_camel_model_PollEnrichDefinition.java,55,error,1
